family_id,family_name,geometry,construction,supplier_product_identity,pressure,vertical_stiffness,lateral_stiffness,longitudinal_stiffness,load_sensitivity,camber_behavior,aligning_torque_trail,relaxation_transient,thermal_architecture,thermal_numeric_calibration,wet_intermediate,wear,degradation,compound_menu,high_speed_growth,failure_behavior,stint_durability,force_moment_data,overall_confidence_score,strongest_evidence_dimensions,weakest_evidence_dimensions,p0_p1_gaps,historical_defensibility_status,supporting_evidence_records,pre_calspan_score,calspan_applicability,architecture_readiness,calspan_digitized_curve_points,numeric_calibration_change,evidence_architecture_uplift,post_calspan_score,pre_calspan_rank,promotion_status,score_interpretation,post_calspan_rank,rank_change
FAM072,2025+ WRC Hankook snow / studded ice,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,5.5,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,0,5.5,MECHANISM_ONLY,100.0,0,0.0,0.2,5.7,43,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",43,0
FAM083,1990s rally tarmac radial,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,5.5,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,"Primary rally supplier temperature, pressure and pattern data",architecture-correct but numerically weak,0,5.5,MECHANISM_ONLY,100.0,0,0.0,0.2,5.7,44,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",44,0
FAM032,Dunlop R6/R7 synthetic-compound treaded GP evolution,8.4,8.3,10.0,6.0,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,6.4,4.4,4.4,9.2,4.4,4.4,4.4,4.4,5.4,supplier_product_identity; compound_menu; geometry; construction,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,19,5.4,MECHANISM_ONLY,100.0,0,0.0,0.2,5.6,45,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",45,0
FAM002,1950s GP / sports treaded bias,9.6,9.6,9.6,4.4,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,7.7,5.8,3.6,9.6,3.6,5.7,6.3,3.6,5.3,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; force_moment_data,aligning_torque_trail; camber_behavior; degradation; force_moment_data,architecture-correct but numerically weak,33,5.3,MECHANISM_ONLY,100.0,0,0.0,0.2,5.5,46,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",46,0
FAM042,1998-2000 Formula 1 early grooved radial,6.8,6.8,6.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,6.8,4.8,4.8,6.8,4.8,4.8,4.8,4.8,5.3,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,0,5.3,MECHANISM_ONLY,100.0,0,0.0,0.2,5.5,47,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",47,0
FAM045,2009-10 Formula 1 Bridgestone control slick,6.8,6.8,6.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,6.8,4.8,4.8,6.8,4.8,4.8,4.8,4.8,5.3,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,0,5.3,MECHANISM_ONLY,100.0,0,0.0,0.2,5.5,48,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",48,0
FAM084,1990s rally gravel radial,6.8,6.8,6.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,6.8,4.8,4.8,6.8,4.8,4.8,4.8,4.8,5.3,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,"Loose-surface force curves, carcass rates and wear evidence",architecture-correct but numerically weak,0,5.3,MECHANISM_ONLY,100.0,0,0.0,0.2,5.5,49,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",49,0
FAM037,1974-76 Formula 1 mature wide slick cross-ply,6.7,6.7,6.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,6.7,4.7,4.7,6.7,4.7,4.7,4.7,4.7,5.2,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,architecture-correct but numerically weak,0,5.2,MECHANISM_ONLY,100.0,0,0.0,0.2,5.4,50,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",50,0
FAM036,1969-71 touring / Trans-Am transition,9.6,9.2,9.6,4.4,3.6,3.6,3.6,3.6,3.8,3.6,3.6,4.7,3.6,9.6,3.8,3.6,7.0,4.2,3.8,4.0,3.6,5.1,geometry; supplier_product_identity; wet_intermediate; construction,aligning_torque_trail; degradation; force_moment_data; lateral_stiffness,aligning_torque_trail; degradation; force_moment_data; lateral_stiffness,architecture-correct but numerically weak,86,5.1,MECHANISM_ONLY,100.0,0,0.0,0.2,5.3,51,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",51,0
FAM033,1968-70 Formula patterned/low-profile transition,7.3,6.3,7.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,6.3,4.3,4.3,6.3,4.3,4.3,4.3,4.3,4.9,geometry; supplier_product_identity; compound_menu; construction,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,1,4.9,MECHANISM_ONLY,100.0,0,0.0,0.2,5.1,52,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",52,0
FAM041,1992-97 Formula 1 mature 13-inch radial slick,6.4,6.4,6.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,6.4,4.4,4.4,6.4,4.4,4.4,4.4,4.4,4.9,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,0,4.9,MECHANISM_ONLY,100.0,0,0.0,0.2,5.1,53,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",53,0
FAM044,2007-08 Formula 1 Bridgestone control grooved,6.3,6.3,6.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,6.3,4.3,4.3,6.3,4.3,4.3,4.3,4.3,4.8,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,0,4.8,MECHANISM_ONLY,100.0,0,0.0,0.2,5.0,54,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",54,0
FAM062,2017-20 WEC LMP1 late hybrid endurance radial,6.1,6.1,7.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,6.1,4.1,4.1,6.1,4.1,4.1,5.2,4.1,4.7,supplier_product_identity; compound_menu; construction; geometry,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,1,4.7,MECHANISM_ONLY,100.0,0,0.0,0.2,4.9,55,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",55,0
FAM007,1980s prototype radial / Group C,9.1,9.0,9.1,4.3,3.1,3.1,3.1,3.1,3.6,3.1,3.1,4.7,3.1,6.7,3.1,3.1,6.4,4.6,4.6,3.6,3.1,4.6,geometry; supplier_product_identity; construction; wet_intermediate,aligning_torque_trail; degradation; force_moment_data; lateral_stiffness,aligning_torque_trail; degradation; force_moment_data; lateral_stiffness,mostly reconstructed,40,4.6,MECHANISM_ONLY,100.0,0,0.0,0.2,4.8,56,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",56,0
FAM028,Early Group C / World Endurance transition,9.1,9.0,9.1,4.3,3.1,3.1,3.1,3.1,3.3,3.1,3.1,4.7,3.1,6.7,3.1,3.1,6.5,4.6,4.6,3.6,3.1,4.6,geometry; supplier_product_identity; construction; wet_intermediate,aligning_torque_trail; degradation; force_moment_data; lateral_stiffness,aligning_torque_trail; degradation; force_moment_data; lateral_stiffness,mostly reconstructed,45,4.6,MECHANISM_ONLY,100.0,0,0.0,0.2,4.8,57,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",57,0
FAM029,Late-80s Group C / WSPC endurance radial,9.1,8.9,9.1,4.3,3.1,3.1,3.1,3.1,3.3,3.1,3.1,4.6,3.1,6.7,3.1,3.1,6.5,4.6,4.6,3.6,3.1,4.6,geometry; supplier_product_identity; construction; wet_intermediate,aligning_torque_trail; degradation; force_moment_data; lateral_stiffness,aligning_torque_trail; degradation; force_moment_data; lateral_stiffness,mostly reconstructed,40,4.6,MECHANISM_ONLY,100.0,0,0.0,0.2,4.8,58,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",58,0
FAM040,1987-91 Formula 1 mature radial slick / qualifier,6.1,6.1,6.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,6.1,4.1,4.1,6.1,4.1,4.1,4.1,4.1,4.6,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,0,4.6,MECHANISM_ONLY,100.0,0,0.0,0.2,4.8,59,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",59,0
FAM034,1967-68 world sportscar early slick/radial branch,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.5,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,0,4.5,MECHANISM_ONLY,100.0,0,0.0,0.2,4.7,60,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",60,0
FAM061,2012-16 WEC LMP1 high-load endurance radial,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.5,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,0,4.5,MECHANISM_ONLY,100.0,0,0.0,0.2,4.7,61,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",61,0
FAM012,Late-90s FIA GT radial,9.1,8.2,9.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,4.2,3.1,7.2,4.7,3.1,5.7,3.1,3.1,3.1,3.1,4.4,geometry; supplier_product_identity; construction; wet_intermediate,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,8,4.4,MECHANISM_ONLY,100.0,0,0.0,0.2,4.6,62,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",62,0
FAM027,Early-80s Group A touring transition,6.7,7.4,7.3,3.1,3.1,3.1,3.1,3.1,3.3,3.1,3.1,3.8,3.1,5.1,3.1,3.1,5.3,3.6,3.3,3.3,3.1,4.0,construction; supplier_product_identity; geometry; compound_menu,aligning_torque_trail; degradation; force_moment_data; lateral_stiffness,aligning_torque_trail; degradation; force_moment_data; lateral_stiffness,mostly reconstructed,14,4.0,CLOSE_ANALOG,100.0,0,0.0,0.6,4.6,65,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",63,2
FAM019,Early-60s touring / GT L-section cross-ply,7.2,6.2,7.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,5.1,3.1,3.1,5.1,3.1,3.1,3.1,3.1,3.8,geometry; supplier_product_identity; construction; compound_menu,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,2,3.8,CLOSE_ANALOG,100.0,0,0.0,0.6,4.4,66,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",64,2
FAM018,1950s world sports-car / endurance bias,6.2,7.2,7.7,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,6.4,3.1,3.1,7.2,4.7,3.1,3.1,3.1,4.1,supplier_product_identity; compound_menu; construction; wet_intermediate,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,6,4.1,MECHANISM_ONLY,100.0,0,0.0,0.2,4.3,63,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",65,-2
FAM030,1980s IMSA GTP prototype radial,5.3,5.8,8.1,5.1,3.1,3.1,3.1,3.1,5.1,3.1,3.1,3.1,3.1,5.1,3.1,3.1,6.9,3.1,3.1,4.7,3.1,4.1,supplier_product_identity; compound_menu; construction; geometry,aligning_torque_trail; degradation; failure_behavior; force_moment_data,aligning_torque_trail; degradation; failure_behavior; force_moment_data,mostly reconstructed,5,4.1,MECHANISM_ONLY,100.0,0,0.0,0.2,4.3,64,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",66,-2
FAM017,1950s touring / saloon competition bias,5.1,5.1,5.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,5.1,3.1,3.1,5.1,3.1,3.1,3.1,3.1,3.6,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,0,3.6,CLOSE_ANALOG,100.0,0,0.0,0.6,4.2,78,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",67,11
FAM021,Late-60s touring / Trans-Am competition bias,5.1,5.1,5.7,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,5.1,3.1,3.1,5.1,3.1,3.1,3.1,3.1,3.6,supplier_product_identity; compound_menu; construction; geometry,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,1,3.6,CLOSE_ANALOG,100.0,0,0.0,0.6,4.2,80,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",68,12
FAM031,1980s IMSA GT / Trans-Am competition radial,6.2,6.2,6.7,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,5.1,3.1,3.1,5.1,3.1,3.1,3.1,3.1,3.8,supplier_product_identity; construction; geometry; compound_menu,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,2,3.8,MECHANISM_ONLY,100.0,0,0.0,0.2,4.0,67,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",69,-2
FAM004,Late-60s tire-war F1,5.1,5.1,5.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,5.1,3.1,3.1,5.1,3.1,3.1,3.1,3.1,3.6,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,0,3.6,MECHANISM_ONLY,100.0,0,0.0,0.2,3.8,68,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",70,-2
FAM005,1971-73 Formula slick cross-ply,5.1,5.1,5.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,5.1,3.1,3.1,5.1,3.1,3.1,3.1,3.1,3.6,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,0,3.6,MECHANISM_ONLY,100.0,0,0.0,0.2,3.8,69,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",71,-2
FAM006,Late-70s/early-80s high-load slick,5.1,5.1,5.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,5.1,3.1,3.1,5.1,3.1,3.1,3.1,3.1,3.6,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,0,3.6,MECHANISM_ONLY,100.0,0,0.0,0.2,3.8,70,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",72,-2
FAM008,Late-80s Group A touring radial,5.3,5.1,5.3,3.1,3.1,3.1,3.1,3.1,3.3,3.1,3.1,3.3,3.1,5.1,3.1,3.1,5.1,3.1,3.1,3.1,3.1,3.6,geometry; supplier_product_identity; compound_menu; construction,aligning_torque_trail; degradation; failure_behavior; force_moment_data,aligning_torque_trail; degradation; failure_behavior; force_moment_data,mostly reconstructed,1,3.6,MECHANISM_ONLY,100.0,0,0.0,0.2,3.8,71,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",73,-2
FAM009,Early one-make GT radial,5.1,5.1,5.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,5.1,3.1,3.1,5.1,3.1,3.1,3.1,3.1,3.6,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,0,3.6,MECHANISM_ONLY,100.0,0,0.0,0.2,3.8,72,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",74,-2
FAM011,ITC/DTM advanced touring radial,5.1,5.1,5.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,5.1,3.1,3.1,5.1,3.1,3.1,3.1,3.1,3.6,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,0,3.6,MECHANISM_ONLY,100.0,0,0.0,0.2,3.8,73,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",75,-2
FAM013,Early-2000s FIA GT / ALMS radial,5.1,5.1,5.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,5.1,3.1,3.1,5.1,3.1,3.1,3.1,3.1,3.6,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,0,3.6,MECHANISM_ONLY,100.0,0,0.0,0.2,3.8,74,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",76,-2
FAM014,2000s NASCAR radial stock-car,5.1,5.1,5.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,5.1,3.1,3.1,5.1,3.1,3.1,3.1,3.1,3.6,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,0,3.6,MECHANISM_ONLY,100.0,0,0.0,0.2,3.8,75,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",77,-2
FAM015,Modern control road-race radial,5.1,5.1,5.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,5.1,3.1,3.1,5.1,3.1,3.1,3.1,3.1,3.6,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,0,3.6,MECHANISM_ONLY,100.0,0,0.0,0.2,3.8,76,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",78,-2
FAM016,Formula Ford cross-ply control tire,5.1,5.1,5.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,5.1,3.1,3.1,5.1,3.1,3.1,3.1,3.1,3.6,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,0,3.6,MECHANISM_ONLY,100.0,0,0.0,0.2,3.8,77,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",79,-2
FAM020,Early-60s world sports-car / prototype cross-ply,5.3,5.3,5.3,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,5.1,3.1,3.1,5.1,3.1,3.1,3.1,3.1,3.6,construction; geometry; supplier_product_identity; compound_menu,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,1,3.6,MECHANISM_ONLY,100.0,0,0.0,0.2,3.8,79,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",80,-1
FAM022,Late-60s world sportscar / Group 4-6 cross-ply,5.1,5.1,5.3,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,5.3,3.1,3.1,5.1,3.1,3.1,3.1,3.1,3.6,supplier_product_identity; wet_intermediate; compound_menu; construction,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,1,3.6,MECHANISM_ONLY,100.0,0,0.0,0.2,3.8,81,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",81,0
FAM023,1970s Group 2 / ETCC touring slick cross-ply,5.3,5.1,5.3,3.1,3.1,3.1,3.1,3.1,3.3,3.1,3.1,3.3,3.1,5.1,3.1,3.1,5.1,3.1,3.1,3.1,3.1,3.6,geometry; supplier_product_identity; compound_menu; construction,aligning_torque_trail; degradation; failure_behavior; force_moment_data,aligning_torque_trail; degradation; failure_behavior; force_moment_data,mostly reconstructed,1,3.6,MECHANISM_ONLY,100.0,0,0.0,0.2,3.8,82,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",82,0
FAM024,1970s world endurance / sports-prototype slick,5.1,5.1,5.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,5.1,3.1,3.1,5.1,3.1,3.1,3.1,3.1,3.6,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,0,3.6,MECHANISM_ONLY,100.0,0,0.0,0.2,3.8,83,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",83,0
FAM025,Late-70s Group 5 / DRM high-load slick,5.1,5.1,5.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,5.1,3.1,3.1,5.1,3.1,3.1,3.1,3.1,3.6,compound_menu; construction; geometry; supplier_product_identity,aligning_torque_trail; camber_behavior; degradation; failure_behavior,aligning_torque_trail; camber_behavior; degradation; failure_behavior,mostly reconstructed,0,3.6,MECHANISM_ONLY,100.0,0,0.0,0.2,3.8,84,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",84,0
FAM026,Late-70s touring / Group 2 slick,5.3,5.1,5.3,3.1,3.1,3.1,3.1,3.1,3.3,3.1,3.1,3.3,3.1,5.1,3.1,3.1,5.1,3.1,3.1,3.1,3.1,3.6,geometry; supplier_product_identity; compound_menu; construction,aligning_torque_trail; degradation; failure_behavior; force_moment_data,aligning_torque_trail; degradation; failure_behavior; force_moment_data,mostly reconstructed,1,3.6,MECHANISM_ONLY,100.0,0,0.0,0.2,3.8,85,BLOCKED — no digitized curves; racing applicability review required,"Architecture/evidence-routing readiness only; not added grip, stiffness, pressure, thermal or wear calibration confidence",85,0
